update,epoch,batch,learning_rate,binary_cross_entropy,regularization_loss,total_loss
1,1,1,0.08,0.6790699362754822,3.1877862056717276e-07,0.6790702550541028
2,1,2,0.056568542494923796,0.670307993888855,8.40789289213717e-07,0.6703088346781442
3,1,3,0.046188021535170064,0.6647834777832031,1.451573334634304e-06,0.6647849293565378
4,1,4,0.04,0.6542669534683228,2.1870587952435016e-06,0.654269140527118
5,1,5,0.03577708763999663,0.6529830694198608,2.8168449643999337e-06,0.6529858862648252
6,1,6,0.032659863237109045,0.6472150087356567,3.4936442971229553e-06,0.6472185023799538
7,1,7,0.030237157840738178,0.6422263383865356,4.208732396364212e-06,0.642230547118932
8,1,8,0.028284271247461898,0.642423689365387,4.8424527049064635e-06,0.6424285318180919
9,1,9,0.02666666666666667,0.6393749117851257,5.452522542327642e-06,0.6393803643076681
10,1,10,0.025298221281347035,0.6322726607322693,6.081732921302319e-06,0.6322787424651906
11,1,11,0.02412090756622109,0.6351969242095947,6.706859916448594e-06,0.6352036310695112
12,1,12,0.023094010767585032,0.6286028027534485,7.375759072601795e-06,0.6286101785125211
13,1,13,0.022188007849009168,0.6248908042907715,8.02410300821066e-06,0.6248988283937797
14,1,14,0.021380899352993952,0.621198296546936,8.712264709174633e-06,0.6212070088116453
15,1,15,0.02065591117977289,0.6172473430633545,9.425818920135499e-06,0.6172567688822747
16,1,16,0.02,0.6134897470474243,1.0188035666942596e-05,0.6134999350830913
17,2,1,0.01940285000290664,0.611312985420227,1.091491524130106e-05,0.6113239003354684
18,2,2,0.01885618083164127,0.6136097311973572,1.1518094688653947e-05,0.6136212492920459
19,2,3,0.01835325870964494,0.6112622618675232,1.2136350385844708e-05,0.6112743982179091
20,2,4,0.017888543819998316,0.6093510389328003,1.2781525030732156e-05,0.609363820457831
21,2,5,0.017457431218879393,0.60981684923172,1.336529292166233e-05,0.6098302145246416
22,2,6,0.017056057308448835,0.603892982006073,1.4041359536349773e-05,0.6039070233656093
23,2,7,0.016681153124565983,0.6074174642562866,1.4571028761565686e-05,0.6074320352850482
24,2,8,0.016329931618554522,0.5979492664337158,1.530668418854475e-05,0.5979645731179044
25,2,9,0.016,0.6054511666297913,1.586717925965786e-05,0.6054670338090509
26,2,10,0.015689290811054725,0.5979824662208557,1.6525063663721086e-05,0.5979989912845194
27,2,11,0.01539600717839002,0.5935882925987244,1.7154257744550704e-05,0.5936054468564689
28,2,12,0.015118578920369089,0.5934933423995972,1.780945062637329e-05,0.5935111518502235
29,2,13,0.01485562705416415,0.5996142625808716,1.8312575295567512e-05,0.5996325751561672
30,2,14,0.01460593486680443,0.5867997407913208,1.895648241043091e-05,0.5868186972737313
31,2,15,0.014368424162141994,0.5883206129074097,1.951644942164421e-05,0.5883401293568313
32,2,16,0.014142135623730949,0.5869027376174927,2.010779455304146e-05,0.5869228454120458
33,3,1,0.013926212476455828,0.5859065055847168,2.0698370411992075e-05,0.5859272039551288
34,3,2,0.013719886811400706,0.5860430002212524,2.1249555051326752e-05,0.5860642497763038
35,3,3,0.013522468075656265,0.5861309766769409,2.1804679185152055e-05,0.586152781356126
36,3,4,0.013333333333333334,0.5866742134094238,2.2369958460330964e-05,0.5866965833678841
37,3,5,0.013151918984428584,0.5761944055557251,2.2993937134742737e-05,0.5762173994928599
38,3,6,0.012977713690461004,0.5830684900283813,2.352031134068966e-05,0.583092010339722
39,3,7,0.012810252304406971,0.577860951423645,2.4110767990350725e-05,0.5778850621916354
40,3,8,0.012649110640673518,0.5820910930633545,2.4624783545732498e-05,0.5821157178469002
41,3,9,0.012493900951088486,0.5739476680755615,2.5254599750041963e-05,0.5739729226753115
42,3,10,0.012344267996967353,0.5741163492202759,2.585514262318611e-05,0.5741422043628991
43,3,11,0.012199885626608373,0.5710011720657349,2.6448726654052734e-05,0.5710276207923889
44,3,12,0.012060453783110546,0.5834225416183472,2.6922525838017464e-05,0.5834494641441852
45,3,13,0.011925695879998878,0.5746732950210571,2.7422092854976654e-05,0.5747007171139121
46,3,14,0.011795356492391771,0.5685638189315796,2.801090106368065e-05,0.5685918298326432
47,3,15,0.011669199319831566,0.578144907951355,2.8474416583776476e-05,0.5781733823679388
48,3,16,0.011547005383792516,0.5732333064079285,2.8983887284994125e-05,0.5732622902952135
49,4,1,0.011428571428571429,0.5656960010528564,2.95428354293108e-05,0.5657255438882858
50,4,2,0.01131370849898476,0.5689321756362915,3.007634170353413e-05,0.568962251977995
51,4,3,0.011202240672224077,0.5687991976737976,3.055390901863575e-05,0.5688297515828162
52,4,4,0.011094003924504584,0.5607788562774658,3.108953684568405e-05,0.5608099458143115
53,4,5,0.010988845115895122,0.566225528717041,3.1608872115612033e-05,0.5662571375891566
54,4,6,0.010886621079036348,0.56196129322052,3.2125491648912434e-05,0.5619934187121689
55,4,7,0.010787197799411874,0.5635740160942078,3.257834538817406e-05,0.5636065944395959
56,4,8,0.010690449676496976,0.5580447912216187,3.312699869275093e-05,0.5580779182203114
57,4,9,0.01059625885652035,0.5695196390151978,3.353334963321686e-05,0.5695531723648309
58,4,10,0.010504514628777804,0.5612269639968872,3.407219052314758e-05,0.5612610361874103
59,4,11,0.01041511287846591,0.5591883659362793,3.4618079662322996e-05,0.5592229840159416
60,4,12,0.010327955589886445,0.5610558986663818,3.5108651965856556e-05,0.5610910073183477
61,4,13,0.010242950394631679,0.5656629204750061,3.55142131447792e-05,0.5656984346881508
62,4,14,0.01016001016001524,0.5600484609603882,3.6028675734996795e-05,0.5600844896361232
63,4,15,0.010079052613579392,0.5586745142936707,3.651378303766251e-05,0.5587110280767084
64,4,16,0.01,0.5559887290000916,3.707481175661087e-05,0.5560258038118482
65,5,1,0.009922778767136677,0.5578685998916626,3.761422634124756e-05,0.5579062141180039
66,5,2,0.009847319278346619,0.5543038845062256,3.812398761510849e-05,0.5543420084938407
67,5,3,0.009773555548504417,0.5624879598617554,3.852108120918274e-05,0.5625264809429645
68,5,4,0.00970142500145332,0.5516179800033569,3.898534551262856e-05,0.5516569653488695
69,5,5,0.009630868246861535,0.5435808300971985,3.951692208647728e-05,0.543620347019285
70,5,6,0.00956182887467515,0.5498932600021362,4.001406580209732e-05,0.5499332740679383
71,5,7,0.009494253265550825,0.5532526969909668,4.046086221933365e-05,0.5532931578531861
72,5,8,0.009428090415820635,0.5475801825523376,4.093362018465996e-05,0.5476211161725223
73,5,9,0.009363291775690447,0.5571337938308716,4.141448438167572e-05,0.5571752083152532
74,5,10,0.009299811099505543,0.5491765737533569,4.19173464179039e-05,0.5492184910997748
75,5,11,0.009237604307034011,0.5405765771865845,4.238839447498322e-05,0.5406189655810595
76,5,12,0.00917662935482247,0.5510467886924744,4.284245893359184e-05,0.551089631151408
77,5,13,0.009116846116771035,0.5427136421203613,4.3217167258262636e-05,0.5427568592876196
78,5,14,0.009058216273156765,0.544001042842865,4.366813600063324e-05,0.5440447109788656
79,5,15,0.009000703207408192,0.5520596504211426,4.406150057911873e-05,0.5521037119217217
80,5,16,0.008944271909999158,0.5532593131065369,4.446128755807877e-05,0.553303774394095
81,6,1,0.008888888888888889,0.5337433815002441,4.496896266937256e-05,0.5337883504629135
82,6,2,0.008834522085987723,0.5489016771316528,4.540025442838669e-05,0.5489470773860812
83,6,3,0.008781140799175228,0.5472006797790527,4.5856352895498274e-05,0.5472465361319482
84,6,4,0.008728715609439696,0.5456075668334961,4.62472066283226e-05,0.5456538140401244
85,6,5,0.008677218312746248,0.547559380531311,4.663342982530594e-05,0.5476060139611364
86,6,6,0.008626621856275073,0.5418539047241211,4.706419259309769e-05,0.5419009689167142
87,6,7,0.008576900278702358,0.5464407205581665,4.746203124523163e-05,0.5464881825894118
88,6,8,0.008528028654224418,0.5369175672531128,4.791858792304993e-05,0.5369654858410359
89,6,9,0.008479983040050881,0.5345732569694519,4.83769066631794e-05,0.534621633876115
90,6,10,0.008432740427115679,0.5456264019012451,4.873306676745415e-05,0.5456751349680126
91,6,11,0.008386278693775347,0.5331390500068665,4.914171248674393e-05,0.5331881917193532
92,6,12,0.008340576562282992,0.536168098449707,4.95849996805191e-05,0.5362176834493876
93,6,13,0.008295613557843402,0.5317306518554688,5.005815997719765e-05,0.5317807100154459
94,6,14,0.008251369970070347,0.5346821546554565,5.052795261144638e-05,0.5347326826080679
95,6,15,0.008207826816681234,0.5391286015510559,5.0925157964229585e-05,0.5391795267090201
96,6,16,0.008164965809277261,0.5468843579292297,5.13007640838623e-05,0.5469356586933136
97,7,1,0.008122769321068953,0.5251010656356812,5.1826894283294676e-05,0.5251528925299644
98,7,2,0.008081220356417685,0.5407094359397888,5.220238119363785e-05,0.5407616383209825
99,7,3,0.008040302522073698,0.5451483130455017,5.2513603121042255e-05,0.5452008266486228
100,7,4,0.008,0.5400329232215881,5.2902191877365114e-05,0.5400858254134655
101,7,5,0.007960297521679913,0.5238134264945984,5.3392440080642704e-05,0.523866818934679
102,7,6,0.007921180343813394,0.5231714248657227,5.383974313735962e-05,0.52322526460886
