update,epoch,batch,learning_rate,binary_cross_entropy,regularization_loss,total_loss
1,1,1,0.08,0.6833411455154419,1.4552418724633753e-07,0.6833412910396292
2,1,2,0.056568542494923796,0.6769804358482361,4.3361715506762265e-07,0.6769808694653912
3,1,3,0.046188021535170064,0.6711344718933105,7.49798899050802e-07,0.6711352216922096
4,1,4,0.04,0.6645950078964233,1.099803252145648e-06,0.6645961076996755
5,1,5,0.03577708763999663,0.6608853340148926,1.4593322994187474e-06,0.660886793347192
6,1,6,0.032659863237109045,0.6593900918960571,1.8048913916572928e-06,0.6593918967874488
7,1,7,0.030237157840738178,0.6562214493751526,2.1666225511580706e-06,0.6562236159977037
8,1,8,0.028284271247461898,0.6533222198486328,2.5248122401535513e-06,0.653324744660873
9,1,9,0.02666666666666667,0.6530585289001465,2.8189506847411393e-06,0.6530613478508313
10,1,10,0.025298221281347035,0.649946391582489,3.1400637235492467e-06,0.6499495316462126
11,1,11,0.02412090756622109,0.64544677734375,3.4561580978333953e-06,0.6454502335018478
12,1,12,0.023094010767585032,0.6452558636665344,3.7805503234267235e-06,0.6452596442168579
13,1,13,0.022188007849009168,0.6396004557609558,4.161848686635494e-06,0.6396046176096425
14,1,14,0.021380899352993952,0.6420099139213562,4.468301311135292e-06,0.6420143822226674
15,1,15,0.02065591117977289,0.6375762224197388,4.8050358891487125e-06,0.637581027455628
16,1,16,0.02,0.6370421051979065,5.203519016504288e-06,0.6370473087169229
17,2,1,0.01940285000290664,0.6361277103424072,5.505765788257122e-06,0.6361332161081955
18,2,2,0.01885618083164127,0.6309727430343628,5.853059701621533e-06,0.6309785960940644
19,2,3,0.01835325870964494,0.6319898366928101,6.173536647111177e-06,0.6319960102294572
20,2,4,0.017888543819998316,0.6293902397155762,6.521816831082106e-06,0.6293967615324072
21,2,5,0.017457431218879393,0.6263682246208191,6.846674717962742e-06,0.626375071295537
22,2,6,0.017056057308448835,0.6285474896430969,7.182693108916283e-06,0.6285546723362059
23,2,7,0.016681153124565983,0.6221579313278198,7.561636622995138e-06,0.6221654929644428
24,2,8,0.016329931618554522,0.6221724152565002,7.878771051764488e-06,0.622180294027552
25,2,9,0.016,0.6204503178596497,8.178854361176492e-06,0.6204584967140109
26,2,10,0.015689290811054725,0.6240987777709961,8.507316932082176e-06,0.6241072850879281
27,2,11,0.01539600717839002,0.6197092533111572,8.868257515132428e-06,0.6197181215686723
28,2,12,0.015118578920369089,0.6186083555221558,9.15306992828846e-06,0.6186175085920841
29,2,13,0.01485562705416415,0.6143873929977417,9.523234330117703e-06,0.6143969162320718
30,2,14,0.01460593486680443,0.6146607398986816,9.86943393945694e-06,0.6146706093326211
31,2,15,0.014368424162141994,0.6207377314567566,1.0175316594541073e-05,0.6207479067733511
32,2,16,0.014142135623730949,0.608080267906189,1.0454420931637287e-05,0.6080907223271206
33,3,1,0.013926212476455828,0.6091228723526001,1.0772840119898319e-05,0.60913364519272
34,3,2,0.013719886811400706,0.6107911467552185,1.111058983951807e-05,0.610802257345058
35,3,3,0.013522468075656265,0.6092904210090637,1.1478468775749207e-05,0.6093018994778394
36,3,4,0.013333333333333334,0.6118525862693787,1.1797938495874405e-05,0.6118643842078746
37,3,5,0.013151918984428584,0.6048972606658936,1.2133259326219558e-05,0.6049093939252198
38,3,6,0.012977713690461004,0.6105610132217407,1.2399829924106598e-05,0.6105734130516648
39,3,7,0.012810252304406971,0.6015675067901611,1.2770417146384715e-05,0.6015802772073076
40,3,8,0.012649110640673518,0.6042107343673706,1.3098267838358879e-05,0.604223832635209
41,3,9,0.012493900951088486,0.6144024133682251,1.3329978100955486e-05,0.6144157433463261
42,3,10,0.012344267996967353,0.6029078960418701,1.3628584332764149e-05,0.6029215246262029
43,3,11,0.012199885626608373,0.6078869104385376,1.3891693204641343e-05,0.6079008021317422
44,3,12,0.012060453783110546,0.600398063659668,1.4177692122757435e-05,0.6004122413517907
45,3,13,0.011925695879998878,0.5966883897781372,1.4491870068013668e-05,0.5967028816482052
46,3,14,0.011795356492391771,0.6016212701797485,1.4767218381166458e-05,0.6016360373981297
47,3,15,0.011669199319831566,0.5945133566856384,1.5091356821358203e-05,0.5945284480424597
48,3,16,0.011547005383792516,0.6029772758483887,1.5300776809453963e-05,0.6029925766251981
49,4,1,0.011428571428571429,0.5934271812438965,1.55973918735981e-05,0.5934427786357701
50,4,2,0.01131370849898476,0.6002190113067627,1.5903605148196222e-05,0.6002349149119109
51,4,3,0.011202240672224077,0.5965952277183533,1.617000438272953e-05,0.596611397722736
52,4,4,0.011094003924504584,0.5989512801170349,1.6394734382629394e-05,0.5989676748514176
53,4,5,0.010988845115895122,0.5926333665847778,1.668328419327736e-05,0.5926500498689711
54,4,6,0.010886621079036348,0.5959820747375488,1.7005011439323427e-05,0.5959990797489881
55,4,7,0.010787197799411874,0.5929597616195679,1.7280088737607e-05,0.5929770417083055
56,4,8,0.010690449676496976,0.5885399580001831,1.757139340043068e-05,0.5885575293935835
57,4,9,0.01059625885652035,0.5908528566360474,1.784170977771282e-05,0.5908706983458251
58,4,10,0.010504514628777804,0.5904136896133423,1.8132077530026438e-05,0.5904318216908723
59,4,11,0.01041511287846591,0.5910300016403198,1.842833682894707e-05,0.5910484299771488
60,4,12,0.010327955589886445,0.5887694358825684,1.8734820187091828e-05,0.5887881707027555
61,4,13,0.010242950394631679,0.5945067405700684,1.8958738073706628e-05,0.594525699308142
62,4,14,0.01016001016001524,0.580520749092102,1.9230149686336518e-05,0.5805399792417884
63,4,15,0.010079052613579392,0.5896948575973511,1.9561173394322397e-05,0.5897144187707454
64,4,16,0.01,0.5881891250610352,1.98199562728405e-05,0.588208945017308
65,5,1,0.009922778767136677,0.5867440104484558,2.008701115846634e-05,0.5867640974596143
66,5,2,0.009847319278346619,0.590201735496521,2.033407613635063e-05,0.5902220695726573
67,5,3,0.009773555548504417,0.5812530517578125,2.0581893622875213e-05,0.5812736336514354
68,5,4,0.00970142500145332,0.5780414938926697,2.0886288955807686e-05,0.5780623801816255
69,5,5,0.009630868246861535,0.5782742500305176,2.1225830540061e-05,0.5782954758610577
70,5,6,0.00956182887467515,0.5828806161880493,2.147577702999115e-05,0.5829020919650794
71,5,7,0.009494253265550825,0.5835403203964233,2.171819657087326e-05,0.5835620385929942
72,5,8,0.009428090415820635,0.5784385204315186,2.1954229101538657e-05,0.5784604746606201
73,5,9,0.009363291775690447,0.5825032591819763,2.2199800238013267e-05,0.5825254589822143
74,5,10,0.009299811099505543,0.5795345306396484,2.2460553795099258e-05,0.5795569911934435
75,5,11,0.009237604307034011,0.5838468074798584,2.2740144282579424e-05,0.583869547624141
76,5,12,0.00917662935482247,0.5785748958587646,2.30370219796896e-05,0.5785979328807443
77,5,13,0.009116846116771035,0.5796945095062256,2.3306190967559816e-05,0.5797178156971932
78,5,14,0.009058216273156765,0.588799238204956,2.3536317050457e-05,0.5888227745220065
79,5,15,0.009000703207408192,0.5795480012893677,2.378208376467228e-05,0.5795717833731323
80,5,16,0.008944271909999158,0.5741463303565979,2.4079553782939913e-05,0.5741704099103808
81,6,1,0.008888888888888889,0.5723815560340881,2.4325301870703698e-05,0.5724058813359588
82,6,2,0.008834522085987723,0.5787920951843262,2.4565381929278374e-05,0.5788166605662555
